cod;municipio;UF;votos;numeroafiliados;txalfabetizacao;energiaeletrica;perccatolicos;rendapercapita2010;percate40anos;qtnovodepfed;percvotonovo;SOBRE60;E_ANOSESTUDO;T_ANALF18M;GINI;RDPC;P_FORMAL;P_SUPER;TRABCC;TRABPUB;TRABSC;PEA18M;PESO18;pesoRUR;pesotot;pesourb;IDHM
3200300;ALFREDO CHAVES;ES;188;0;92,6;99,76;0,933346578;723,18;0,352776783;6;0,018337885;82,06;9,31;8,33;0,48;634,97;40,76;6,88;17,86;6,16;23,5;7764;10252;7410;13955;6545;0,71
3500808;ALFREDO MARCONDES;SP;58;1;90,5;99,85;0,885573886;618,7;0,313287073;47;0,019078947;83,9;11,04;10,66;0,36;558,38;64;8,25;52,67;6,34;20,25;1844;3040;636;3891;3255;0,741
3101631;ALFREDO VASCONCELOS;MG;144;1;90,9;99,38;0,983910554;455,47;0,347489712;37;0,033441709;82,52;9,01;10,66;0,41;400,14;58,37;5,73;40,2;8,53;17,97;2693;4306;2044;6075;4031;0,675
4200705;ALFREDO WAGNER;SC;190;0;91,5;99,83;0,735970866;665,48;0,337300744;16;0,028455893;87,46;10,04;10,14;0,46;630,54;47,99;7,85;22,62;5,68;9,81;4794;6677;6542;9410;2868;0,668
2500577;ALGODÃO DE JANDAÍRA;PB;4;0;70,6;97,62;0,879642366;261,69;0,346999155;2;0,002587322;81,72;9,03;35,45;0,47;218,7;16,34;1,87;3,19;12,11;34,19;841;1546;1135;2366;1231;0,548
2500601;ALHANDRA;PB;44;1;76,1;98,7;0,676789168;273,53;0,381129561;2;0,003806887;84,65;8,67;28,3;0,45;236,14;36,59;2,95;30,13;4,53;34,74;6300;11558;6854;18007;11153;0,582
2600708;ALIANÇA;PE;96;0;74,8;99,2;0,774917809;309,55;0,362234398;10;0,003843228;86,63;8,48;29,2;0,49;269,86;55,78;5,01;48,87;4,95;22,89;11504;24979;17168;37415;20247;0,604
1700350;ALIANÇA DO TOCANTINS;TO;29;0;87,2;96,06;0,867758494;415,17;0,335390584;0;0,007645663;86,82;10,02;15,71;0,47;357,08;45,57;9,88;29;11,83;31,36;2228;3793;915;5671;4756;0,663
2900900;ALMADINA;BA;15;0;71;93,12;0,790755658;328,12;0,32027686;8;0,003449862;81,96;8,85;34,22;0,46;265,39;31,39;1,76;29,43;0,15;41,11;2020;4348;1277;6357;5080;0,563
1700400;ALMAS;TO;15;0;80,9;87,01;0,845283742;442,07;0,313735829;0;0,003361721;86,37;9,09;24,03;0,57;369,39;35,37;8,27;19,91;13,02;35,88;2820;4462;1577;7586;6009;0,636
1500503;ALMEIRIM;PA;35;0;86,6;85,3;0,760258964;633,01;0,356815613;0;0,001819884;87,58;8,61;14,85;0,65;484,16;38,84;9,32;23,95;10,59;17,35;13370;19232;13649;33614;19965;0,642
3101706;ALMENARA;MG;211;2;80;95,54;0,85444711;505,41;0,356698904;37;0,007820318;79,76;8,59;23,28;0,53;419,98;36,99;8,28;24,45;8,67;34,82;17312;26981;7025;38775;31750;0,642
2400604;ALMINO AFONSO;RN;21;0;76,6;98,96;0,878062518;332,9;0,352699651;5;0,006149341;80,69;9,91;26,71;0,49;291,3;20,39;5,63;10,84;8,36;45,64;1763;3415;1392;4871;3479;0,624
4100400;ALMIRANTE TAMANDARÉ;PR;1268;4;94,5;99,76;0,646149619;699,48;0,376574551;16;0,018532051;84,6;9,59;6,51;0,43;646,02;69,73;6,09;62,34;2,83;14,51;50881;68422;4312;103204;98892;0,699
4300471;ALMIRANTE TAMANDARÉ DO SUL;RS;31;0;95,9;99,86;0,81919715;828,39;0,287856797;18;0,019387117;83,12;10,22;4,5;0,44;760,16;73,31;6,18;24,24;9,69;10,67;1197;1599;1228;2067;839;0,74
5200506;ALOÂNDIA;GO;27;0;86,2;99,88;0,687960688;663,26;0,31789371;6;0,017175573;83,37;9,53;15,65;0,44;599,9;41,45;9,38;21,03;13,38;35,17;977;1572;282;2051;1769;0,697
3101805;ALPERCATA;MG;57;2;85,7;99,46;0,712311817;426,05;0,331427775;37;0,011594793;81,67;8,91;17,45;0,45;401,21;48,49;5,73;27,69;16,82;30,55;2780;4916;1512;7172;5660;0,646
4300505;ALPESTRE;RS;34;0;88,3;98,85;0,911651553;681,75;0,279930235;18;0,005703741;80,09;10,27;13,54;0,49;625,11;19,93;4,92;12,92;3,01;8,48;5004;5961;5816;8027;2211;0,671
3101904;ALPINÓPOLIS;MG;921;5;92,9;99,82;0,923766816;699,43;0,347793163;37;0,06905601;84,97;9,39;8,14;0,47;633,91;47,67;8,05;34,43;3,87;32,44;8814;13337;3498;18488;14990;0,725
